customer_id,tenure_months,monthly_charges,total_charges,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,tech_support,contract,paperless_billing,payment_method,churn
CUST-00001,7,104.97,719.57,0,No,No,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,1
CUST-00002,56,31.43,1707.4,0,No,Yes,No,No phone service,DSL,No,No,Month-to-month,No,Bank transfer,0
CUST-00003,48,91.98,4315.89,1,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,0
CUST-00004,32,45.8,1578.85,0,Yes,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,0
CUST-00005,32,90.62,3137.0,0,No,No,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Credit card,1
CUST-00006,62,35.61,2244.0,0,No,Yes,Yes,No,No,No internet service,No internet service,One year,Yes,Mailed check,0
CUST-00007,7,85.46,602.93,1,No,No,Yes,No,Fiber optic,No,Yes,One year,Yes,Mailed check,0
CUST-00008,51,97.03,5103.61,1,No,No,Yes,No,Fiber optic,No,Yes,One year,Yes,Credit card,0
CUST-00009,15,110.15,1678.19,0,No,No,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Mailed check,1
CUST-00010,7,57.4,404.62,0,No,No,Yes,No,DSL,Yes,No,Month-to-month,Yes,Bank transfer,0
CUST-00011,38,18.0,671.67,0,No,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer,0
CUST-00012,71,108.19,7492.32,0,No,Yes,Yes,No,Fiber optic,No,Yes,One year,No,Electronic check,0
CUST-00013,53,65.33,3531.21,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,0
CUST-00014,55,120.9,6686.5,0,No,No,Yes,No,Fiber optic,No,Yes,One year,Yes,Credit card,0
CUST-00015,52,45.72,2517.09,0,No,No,Yes,No,Fiber optic,Yes,No,Two year,Yes,Credit card,0
CUST-00016,57,84.53,4768.29,1,No,No,Yes,Yes,DSL,No,No,Month-to-month,No,Credit card,0
CUST-00017,37,74.58,2657.34,0,No,No,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,1
CUST-00018,10,118.41,1114.9,0,No,No,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,1
CUST-00019,61,18.0,1064.26,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,0
CUST-00020,33,18.0,559.83,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,0
CUST-00021,37,85.1,3293.24,0,Yes,No,Yes,Yes,Fiber optic,No,No,Two year,Yes,Mailed check,0
CUST-00022,27,78.77,2090.62,0,Yes,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,1
CUST-00023,14,63.66,863.87,0,Yes,No,Yes,No,DSL,No,Yes,Two year,No,Bank transfer,0
CUST-00024,67,102.98,7032.07,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,Two year,No,Electronic check,0
CUST-00025,57,54.26,3333.94,1,Yes,No,Yes,No,No,No internet service,No internet service,One year,Yes,Mailed check,0
CUST-00026,47,84.01,3881.06,0,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Two year,No,Bank transfer,0
CUST-00027,29,122.53,3392.18,1,No,No,No,No phone service,Fiber optic,Yes,No,Month-to-month,Yes,Credit card,1
CUST-00028,60,18.0,1062.91,1,No,Yes,Yes,No,No,No internet service,No internet service,Two year,No,Mailed check,0
CUST-00029,40,58.12,2151.95,0,Yes,No,Yes,Yes,DSL,Yes,No,One year,Yes,Mailed check,0
CUST-00030,32,77.6,2534.32,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,One year,No,Bank transfer,0
CUST-00031,33,100.65,3398.1,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,One year,No,Electronic check,0
CUST-00032,17,65.17,1088.42,0,Yes,No,Yes,No,DSL,Yes,Yes,Two year,Yes,Electronic check,0
CUST-00033,7,105.75,707.07,0,Yes,No,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,Credit card,0
CUST-00034,40,81.7,3581.77,0,Yes,No,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,Electronic check,0
CUST-00035,64,99.07,6028.68,1,Yes,Yes,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,0
CUST-00036,5,85.05,412.49,0,No,No,Yes,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,1
CUST-00037,62,46.43,2882.59,0,No,Yes,Yes,No,DSL,No,No,Two year,No,Credit card,0
CUST-00038,60,82.23,5103.68,0,No,No,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Bank transfer,0
CUST-00039,20,77.98,1550.2,0,Yes,No,Yes,No,Fiber optic,No,Yes,One year,No,Bank transfer,0
CUST-00040,46,55.05,2535.88,0,Yes,No,Yes,No,DSL,No,Yes,Month-to-month,Yes,Bank transfer,0
CUST-00041,12,32.76,402.74,0,No,No,No,No phone service,No,No internet service,No internet service,Two year,Yes,Electronic check,0
CUST-00042,55,49.85,3093.32,0,Yes,No,Yes,No,DSL,Yes,No,Two year,No,Mailed check,0
CUST-00043,51,106.23,5292.22,0,No,Yes,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,0
CUST-00044,26,97.39,2480.49,0,No,No,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Mailed check,1
CUST-00045,5,39.99,199.09,0,No,No,Yes,Yes,DSL,No,No,Two year,Yes,Electronic check,0
CUST-00046,70,20.66,1485.48,0,Yes,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card,1
CUST-00047,33,83.81,3045.09,1,No,No,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,1
CUST-00048,65,58.05,3756.54,0,Yes,Yes,Yes,Yes,DSL,No,No,Two year,No,Electronic check,0
CUST-00049,49,83.04,4159.24,0,Yes,Yes,Yes,No,Fiber optic,No,No,One year,Yes,Mailed check,0
CUST-00050,57,110.3,5744.12,0,Yes,No,Yes,No,Fiber optic,No,Yes,Two year,Yes,Electronic check,0
CUST-00051,55,87.63,4832.11,0,No,No,Yes,No,DSL,No,Yes,Month-to-month,Yes,Electronic check,0
CUST-00052,15,62.45,936.22,0,No,No,Yes,No,DSL,Yes,Yes,One year,Yes,Credit card,1
CUST-00053,27,105.45,2963.21,0,Yes,No,Yes,No,Fiber optic,Yes,No,Two year,No,Electronic check,0
CUST-00054,34,117.75,3920.66,1,Yes,No,Yes,No,Fiber optic,Yes,No,One year,Yes,Bank transfer,0
CUST-00055,36,90.77,3107.94,0,No,No,Yes,Yes,DSL,Yes,No,Two year,Yes,Bank transfer,0
CUST-00056,4,89.69,362.06,0,No,No,Yes,Yes,Fiber optic,No,No,Two year,Yes,Electronic check,0
CUST-00057,40,76.02,2851.17,0,Yes,Yes,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Electronic check,1
CUST-00058,12,43.73,507.89,0,Yes,Yes,Yes,No,DSL,Yes,No,Month-to-month,Yes,Mailed check,0
CUST-00059,54,93.56,5063.35,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,One year,No,Credit card,0
CUST-00060,50,43.11,1948.85,0,No,Yes,Yes,No,DSL,No,Yes,Two year,No,Bank transfer,0
CUST-00061,67,97.52,6467.01,0,No,Yes,Yes,No,DSL,Yes,Yes,Two year,Yes,Electronic check,0
CUST-00062,54,64.25,3688.84,0,Yes,No,Yes,No,DSL,Yes,No,Month-to-month,No,Electronic check,0
CUST-00063,27,84.44,2132.97,0,Yes,No,Yes,Yes,Fiber optic,No,No,One year,No,Bank transfer,0
CUST-00064,70,81.89,5575.6,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,One year,No,Mailed check,1
CUST-00065,30,60.61,1861.1,0,Yes,No,Yes,No,Fiber optic,No,No,Month-to-month,No,Mailed check,1
