feature,importance
categorical__contract_Month-to-month,0.16424074132152702
numeric__monthly_charges,0.11529572506117788
numeric__tenure_months,0.10777956387799645
categorical__internet_service_Fiber optic,0.09653259102192907
numeric__total_charges,0.08532938004496823
categorical__contract_Two year,0.0723018803411126
categorical__contract_One year,0.03456144286153533
categorical__internet_service_DSL,0.03377925826782387
categorical__tech_support_No internet service,0.028140082181310193
categorical__online_security_No internet service,0.026331965685871553
categorical__tech_support_No,0.024896858356561323
categorical__internet_service_No,0.022791913926063584
categorical__payment_method_Electronic check,0.02263464683288722
categorical__online_security_No,0.019969173151477858
categorical__paperless_billing_No,0.015210455213968571
categorical__paperless_billing_Yes,0.0142169595791121
categorical__tech_support_Yes,0.013541269390704463
categorical__online_security_Yes,0.011394423289996987
categorical__partner_No,0.010360276956069907
categorical__partner_Yes,0.010147460806523501
categorical__payment_method_Bank transfer,0.009291024120039404
categorical__dependents_Yes,0.00892609863166141
categorical__multiple_lines_No,0.00853326920568221
categorical__dependents_No,0.008488557338480356
categorical__multiple_lines_Yes,0.008365844557021664
categorical__payment_method_Credit card,0.007300658586182936
categorical__payment_method_Mailed check,0.007071392523498432
numeric__senior_citizen,0.005602145890818691
categorical__multiple_lines_No phone service,0.0024594775884729868
categorical__phone_service_Yes,0.0023056801544740556
categorical__phone_service_No,0.0021997832350503024
